shortName,symbol,price,marketCap,averageVolume,revenueGrowth,earningsGrowth,netIncomeToCommon,returnOnEquity,debtToEquity,currentRatio,freeCashflow,forwardPE,pegRatio
Arch Capital Group Ltd.,ACGL,94.17,35146153984,2255493,0.082,0.391,4056000000.0,0.17811,11.501,0.564,6687499776.0,10.048755,
Archer-Daniels-Midland Company,ADM,67.4,32390400000,3277593,0.022,4.891,1188999936.0,0.05242,40.467,1.372,2467624960.0,15.886298,
Ares Management Corporation,ARES,149.8,49078165504,3014083,0.467,1.088,511825984.0,0.17087999,147.431,0.492,2013002624.0,22.786251,
"Arista Networks, Inc.",ANET,150.15,189081649152,7841343,0.275,0.155,3356553984.0,0.31736,,3.254,3268608000.0,44.685104,
Arthur J. Gallagher & Co.,AJG,242.37,62241824768,1832905,0.2,-0.252,1601200000.0,0.090670004,58.979,1.055,820150016.0,18.24369,
"Assurant, Inc.",AIZ,237.29,11973466112,322105,0.089,1.027,848800000.0,0.15413,38.316,0.41,988275008.0,11.385642,
AT&T Inc.,T,24.07,170643046400,43731256,0.016,,22168000512.0,0.19139999,124.412,1.013,10321250304.0,9.656119,
Atmos Energy Corporation,ATO,166.0,26850168832,1186881,0.121,0.256,1198267008.0,0.09323,68.616,0.773,-1818661632.0,19.016111,
"Autodesk, Inc.",ADSK,268.33,57154285568,1601061,0.18,0.26,1111000064.0,0.40333998,94.504,0.823,2541374976.0,23.107851,
"Automatic Data Processing, Inc.",ADP,250.69,101391253504,2276028,0.071,0.064,4136399872.0,0.70572996,154.917,1.054,4415287296.0,20.988869,
"AutoZone, Inc.",AZO,3782.14,62907060224,164215,0.082,-0.046,2464136960.0,,,0.86,1150775424.0,21.605305,
"AvalonBay Communities, Inc.",AVB,172.97,24627992576,1079030,0.044,0.024,1166467968.0,0.09754,73.165,0.707,1317851776.0,33.74794,
Avery Dennison Corporation,AVY,184.87,14289598464,687913,0.015,-0.053,695600000.0,0.30211002,171.013,1.264,666062528.0,17.74915,
"Axon Enterprise, Inc.",AXON,549.86,43679371264,860273,0.306,,257095008.0,0.10028,69.33,3.124,248673872.0,72.94363,
Baker Hughes Company,BKR,56.63,55881007104,7861146,0.003,-0.256,2588000000.0,0.14552,32.02,1.357,1384375040.0,19.459143,
Ball Corporation,BALL,56.26,15311096832,2709108,0.096,0.811,712000000.0,0.117469996,138.426,1.105,128125000.0,14.1596575,
Bank of America Corporation,BAC,51.81,378342309888,37933765,0.132,0.209,29055000576.0,0.1019,,,,10.453425,
Baxter International Inc.,BAX,19.61,10080634880,8975703,0.05,,-344000000.0,-0.04658,134.627,1.837,2620375040.0,8.645699,
"Becton, Dickinson and Company",BDX,201.92,57631715328,2211510,0.083,0.252,1678000000.0,0.06544,78.85,1.113,3604875008.0,12.714932,
Berkshire Hathaway Inc. New,BRK.B,473.49,1021476405248,4978585,0.021,0.172,67463000064.0,0.1017,18.166,2.722,48615874560.0,19.573135,
"Best Buy Co., Inc.",BBY,65.56,13774238720,4252028,0.024,-0.476,645000000.0,0.22493,154.542,1.045,1144249984.0,9.725603,
Bio-Techne Corp,TECH,65.56,10215080960,1985443,-0.01,0.143,77948000.0,0.038,20.067,4.217,278545504.0,30.267635,
Biogen Inc.,BIIB,174.83,25647958016,2008078,0.028,0.192,1608499968.0,0.09307,36.194,2.716,2137600000.0,11.597047,
"BlackRock, Inc.",BLK,1121.67,174028128256,655551,0.234,-0.327,5552999936.0,0.10686,24.32,,,18.09607,
Blackstone Inc.,BX,146.79,180119961600,4001613,-0.196,-0.214,2707886080.0,0.26457,65.942,1.004,,22.838373,
"Block, Inc.",XYZ,64.22,39147487232,7342266,0.023,0.644,3135894016.0,0.14692001,36.049,2.183,241061248.0,19.688395,
The Bank of New York Mellon Cor,BK,118.9,82914811904,3504586,0.078,0.308,5305999872.0,0.12898,,,,12.722252,
Boeing Company (The),BA,241.59,189182181376,8749853,0.571,,1890000000.0,2.90084,1035.917,1.188,2076999936.0,41.568375,
Booking Holdings Inc. Common St,BKNG,5085.22,164811407360,246153,0.127,0.135,5043999744.0,,,1.334,6635874816.0,19.114712,
Boston Scientific Corporation,BSX,93.79,139092426752,9819841,0.203,0.6,2791000064.0,0.12488,50.973,1.508,3065125120.0,27.014105,
Bristol-Myers Squibb Company,BMY,54.62,111192834048,15098923,0.028,0.809,6039000064.0,0.33777002,274.414,1.266,14718374912.0,9.086916,
Broadcom Inc.,AVGO,333.24,1579981996032,29982643,0.164,1.881,23125999616.0,0.31048,166.032,1.705,25044125696.0,23.434006,
"Broadridge Financial Solutions,",BR,204.89,23916310528,742185,0.117,1.059,925100032.0,0.38215,132.063,0.927,1151874944.0,19.950495,
"Brown & Brown, Inc.",BRO,72.1,24616439808,2693188,0.361,-0.193,1054000000.0,0.11226,62.475,1.039,1382125056.0,14.316264,
Brown Forman Inc,BF.B,26.31,12187039744,4865935,-0.054,-0.139,810000000.0,0.20666,64.03,2.974,562249984.0,15.216185,
"Builders FirstSource, Inc.",BLDR,117.09,12947879936,2113416,-0.069,-0.549,593963008.0,0.13555999,117.723,1.786,764492224.0,18.549673,
Bunge Limited,BG,115.3,22294528000,1520081,0.716,-0.46,1326000000.0,0.09758,102.816,1.66,-7760625152.0,12.89565,
"BXP, Inc.",BXP,64.15,11353021440,1461716,0.029,,276800000.0,0.04916,225.887,2.282,,27.650864,
"C.H. Robinson Worldwide, Inc.",CHRW,184.28,21770317824,1622136,-0.109,0.675,600065984.0,0.34318,80.904,1.585,741496256.0,26.360962,
"Cadence Design Systems, Inc.",CDNS,320.49,87330316288,1698055,0.101,0.207,1060961984.0,0.21736,47.685,3.048,1384099840.0,39.801693,
Camden Property Trust,CPT,107.22,11456749568,1459748,0.021,,268553984.0,0.059310004,81.136,0.052,727876608.0,85.97133,
The Campbell's Company,CPB,26.98,8043661824,6693383,-0.034,-0.097,578000000.0,0.14815,184.567,0.819,630499968.0,10.327667,
Capital One Financial Corporati,COF,218.41,138850582528,4393610,0.516,0.222,1816000000.0,0.02394,,,,8.729333,
"Cardinal Health, Inc.",CAH,210.39,49987620864,2257455,0.224,0.106,1595000064.0,,,0.957,4700624896.0,18.687546,
Carnival Corporation,CCL,28.72,39700144128,20500725,0.066,0.343,2760000000.0,0.25632998,227.882,0.322,,10.155443,
Carrier Global Corporation,CARR,57.91,49282732032,7157933,-0.068,0.005,1379000064.0,0.0998,83.159,1.141,2499749888.0,20.136726,
Carvana Co.,CVNA,410.04,88898084864,4033195,0.545,0.609,629000000.0,0.6815,192.409,4.047,57250000.0,55.021423,
"Caterpillar, Inc.",CAT,643.28,301363134464,2456700,0.095,-0.036,9272999936.0,0.46283,201.046,1.384,6289375232.0,28.53203,
"Cboe Global Markets, Inc.",CBOE,264.6,27688939520,768770,0.081,0.377,978200000.0,0.21621001,32.645,1.718,987800000.0,23.615723,
CBRE Group Inc,CBRE,169.5,50442010624,1363106,0.135,0.658,1228000000.0,0.14091,104.121,1.127,1347250048.0,22.98567,
CDW Corporation,CDW,124.72,16345895936,1688371,0.04,-0.056,1051299968.0,0.43007,239.737,1.39,931262528.0,11.868588,
"Cencora, Inc.",COR,350.54,68189171712,1419781,0.059,,1554168960.0,1.23751,534.1,0.903,3283074560.0,17.990185,
Centene Corporation,CNC,41.9,20594606080,7278970,0.215,,-5289999872.0,-0.2186,83.51,1.084,4424000000.0,14.013378,
"CenterPoint Energy, Inc (Holdin",CNP,39.79,25977630720,4686328,0.071,0.506,1036000000.0,0.09606,202.111,0.513,-3115124992.0,20.855173,
"CF Industries Holdings, Inc.",CF,93.17,15091020800,2467395,0.211,0.416,1379000064.0,0.21967,44.133,2.273,1361750016.0,12.4227495,
Charles River Laboratories Inte,CRL,216.88,10673851392,841363,-0.005,-0.173,-83482000.0,-0.021879999,76.251,1.366,548048000.0,19.800173,
Charles Schwab Corporation (The,SCHW,103.47,187820752896,8652231,0.189,0.418,8416999936.0,0.18110001,99.789,,,15.099202,
"Charter Communications, Inc.",CHTR,182.81,24970199040,1893283,-0.009,-0.054,5120999936.0,0.31327,497.907,0.375,2906874880.0,4.2566013,
Chevron Corporation,CVX,169.93,342378741760,9633758,-0.014,-0.266,12768000000.0,0.07316,21.239,1.152,15743875072.0,24.187773,
"Chipotle Mexican Grill, Inc.",CMG,39.16,52509057024,22319591,0.075,0.022,1536593024.0,0.44958,154.574,1.542,1142371328.0,32.135765,
Chubb Limited,CB,303.65,121062309888,1693388,0.091,0.226,9674999808.0,0.1364,30.958,0.38,12573875200.0,11.487125,
"Church & Dwight Company, Inc.",CHD,91.48,22285324288,2568585,0.05,,782499968.0,0.18594,56.855,1.086,1012412480.0,24.569075,
The Cigna Group,CI,272.38,72759730176,2035461,0.095,1.654,6146999808.0,0.15538,81.021,0.828,8630625280.0,8.9412155,
Cincinnati Financial Corporatio,CINF,158.4,24770023424,565715,0.122,0.367,2122000000.0,0.14529,5.732,1.118,1700875008.0,18.554005,
Cintas Corporation,CTAS,189.16,76017106944,2032331,0.093,0.11,1891880960.0,0.43396,72.656,1.705,1546515584.0,34.975353,
"Cisco Systems, Inc.",CSCO,78.96,311978426368,21278680,0.075,0.06,10328999936.0,0.22418,63.228,0.927,12405999616.0,17.650648,
"Citigroup, Inc.",C,114.2,204334186496,13369003,0.037,-0.108,13024000000.0,0.06831,,,,9.504786,
"Citizens Financial Group, Inc.",CFG,62.92,27023269888,4700856,0.107,0.359,1688000000.0,0.07241,,,,10.034319,
Clorox Company (The),CLX,108.8,13271464960,2347343,-0.189,-0.187,791000000.0,4.43646,2230.435,0.759,861625024.0,16.136232,
CME Group Inc.,CME,286.05,102838525952,1908218,-0.03,-0.004,3716699904.0,0.13346,13.372,1.021,2836375040.0,24.39224,
CMS Energy Corporation,CMS,71.8,21850161152,2536680,0.16,0.092,1037000000.0,0.11233,191.676,0.899,-1545124992.0,18.627241,
Coca-Cola Company (The),KO,73.06,314425901056,16642276,0.051,0.301,13031000064.0,0.42442,144.771,1.211,1412875008.0,22.687185,
Cognizant Technology Solutions ,CTSH,83.3,40683384832,4734376,0.074,-0.521,2128000000.0,0.14501001,7.854,2.358,2306249984.0,14.792794,
"Coinbase Global, Inc. - 3",COIN,209.43,56474390528,9149666,0.589,4.306,3217709056.0,0.26005,48.559,2.404,-1097911808.0,32.091583,
Colgate-Palmolive Company,CL,85.0,68698767360,6770173,0.019,0.011,2908000000.0,2.93635,680.048,0.93,2739249920.0,22.123377,
Comcast Corporation,CMCSA,28.41,111968485376,39177168,-0.027,-0.042,22606999552.0,0.24186,101.462,0.882,4067249920.0,7.401406,
"Comfort Systems USA, Inc.",FIX,1169.05,41245782016,581193,0.352,1.017,837622016.0,0.43842,18.973,1.221,622054272.0,37.973812,
"ConAgra Brands, Inc.",CAG,17.68,8457572352,10936966,-0.068,,-98000000.0,-0.0116,94.229,0.891,787687488.0,9.774328,
ConocoPhillips,COP,101.39,126630264832,7561203,0.14,-0.216,8824000512.0,0.15421,36.169,1.323,6092499968.0,19.323313,
"Consolidated Edison, Inc.",ED,105.18,37963206656,2168443,0.107,0.124,2036000000.0,0.08839,110.373,1.075,-85625000.0,17.437841,
"Constellation Brands, Inc.",STZ,157.74,27461568512,2653870,-0.098,-0.15,1109600000.0,0.14454001,133.293,1.339,1969687552.0,12.764635,
Constellation Energy Corporatio,CEG,287.95,104321433600,2951003,0.003,-0.223,2739000064.0,0.19839,61.51,1.563,3059000064.0,24.926508,
"The Cooper Companies, Inc.",COO,80.48,16000143360,2688128,0.046,-0.282,374900000.0,0.045939997,33.785,1.893,376587488.0,16.236183,
"Copart, Inc.",CPRT,40.62,39320875008,8930623,0.007,0.108,1594077056.0,0.18124,1.039,7.939,1070628608.0,22.534868,
Corning Incorporated,GLW,104.28,89405538304,6327610,0.209,,1366000000.0,0.12739,76.51,1.556,1098875008.0,27.97623,
"Corpay, Inc.",CPAY,317.64,22429954048,618030,0.139,0.003,1051297024.0,0.29097,201.153,1.134,1306636800.0,12.854262,
"Corteva, Inc.",CTVA,73.05,49608257536,3828131,0.126,,1680999936.0,0.06705,17.175,1.578,2547749888.0,19.964745,
"CoStar Group, Inc.",CSGP,65.2,27633244160,5204436,0.204,,20300000.0,0.00252,13.126,3.121,113800000.0,49.008553,
Costco Wholesale Corporation,COST,960.78,426545676288,2768170,0.083,0.114,8302000128.0,0.30325,26.968,1.038,7170250240.0,43.253185,
Coterra Energy Inc.,CTRA,27.79,21207660544,8643795,0.349,0.235,1646000000.0,0.118549995,27.957,1.025,950875008.0,12.436731,
CRH PLC,CRH,122.46,81856225280,7698876,0.053,0.122,3407000064.0,0.14487,83.856,1.453,1544499968.0,20.187366,
"CrowdStrike Holdings, Inc.",CRWD,469.19,118282067968,2354883,0.222,,-314160992.0,-0.088149995,20.154,1.811,1416660352.0,97.06703,
Crown Castle Inc.,CCI,84.89,36967813120,2813826,-0.043,0.066,-3929999872.0,-2.06679,,0.259,1318125056.0,25.666065,
CSX Corporation,CSX,37.38,69686673408,13338050,-0.009,0.012,2888999936.0,0.22511,143.412,0.814,946625024.0,17.88166,
Cummins Inc.,CMI,577.86,79765626880,892826,-0.016,-0.341,2668000000.0,0.22767,62.949,1.769,1640249984.0,22.035429,
CVS Health Corporation,CVS,74.03,93976084480,7911410,0.078,,469000000.0,0.0057800002,111.821,0.832,6976625152.0,10.328668,
Danaher Corporation,DHR,224.54,158727307264,3431400,0.044,0.134,3503000064.0,0.06843,35.544,1.519,4013874944.0,24.4148,
"Darden Restaurants, Inc.",DRI,196.5,22855653376,1635386,0.073,0.118,1123000064.0,0.54104,401.269,0.394,628675008.0,17.24047,
"Datadog, Inc.",DDOG,140.56,49290280960,4835956,0.284,-0.337,106768000.0,0.03519,37.199,3.663,838500736.0,60.045025,
DaVita Inc.,DVA,105.88,7570419712,944928,0.048,-0.184,771915008.0,0.61618,953.093,1.363,956624000.0,8.312828,
"Dayforce, Inc.",DAY,69.36,11100024832,3288055,0.095,,-149800000.0,-0.05706,45.53,1.043,200750000.0,25.456202,
Deckers Outdoor Corporation,DECK,97.62,14481278976,3225993,0.091,0.144,1015500032.0,0.43312,14.22,3.067,784447232.0,14.239288,
Deere & Company,DE,525.01,142316814336,1433276,0.126,-0.137,5026999808.0,0.20427999,248.418,2.262,2737125120.0,23.835814,
Dell Technologies Inc.,DELL,117.32,78627889152,6753188,0.108,0.39,5209999872.0,,,0.853,3035124992.0,10.209729,
"Delta Air Lines, Inc.",DAL,65.83,42984538112,7764833,0.029,0.444,5005000192.0,0.2777,102.992,0.396,,7.883682,
Devon Energy Corporation,DVN,39.83,25284085760,8569936,0.071,-0.162,2719000064.0,0.18586999,56.274,0.957,2007000064.0,10.869091,
"DexCom, Inc.",DXCM,73.36,28768509952,6454396,0.216,1.099,720700032.0,0.30635,94.479,1.565,783387520.0,29.586252,
"Diamondback Energy, Inc.",FANG,160.27,46395940864,1797323,0.42,0.1,4177999872.0,0.10901,35.66,0.623,-2041874944.0,16.080017,
"Digital Realty Trust, Inc.",DLR,163.21,57075281920,1978983,0.111,0.603,1358786944.0,0.05825,79.248,1.304,2183965440.0,45.25428,
Dollar General Corporation,DG,145.04,31926038528,3673876,0.046,0.438,1277228032.0,0.16450001,201.663,1.171,1971688448.0,20.379774,
"Dollar Tree, Inc.",DLTR,119.1,24292569088,3366498,0.094,0.106,1113799936.0,0.20066999,221.055,0.959,1654437504.0,17.750711,
"Dominion Energy, Inc.",D,60.71,51841073152,6280470,0.149,0.062,2609999872.0,0.09204,154.315,0.845,-9946749952.0,16.866512,
Domino's Pizza Inc,DPZ,405.37,13761873920,583761,0.031,0.301,589505024.0,,,1.609,477574752.0,20.732185,
"DoorDash, Inc.",DASH,206.66,89070157824,5413443,0.273,0.459,863000000.0,0.100430004,34.255,2.045,-1816125056.0,33.980072,
Dover Corporation,DOV,206.0,28253562880,1083023,0.048,-0.126,1061046016.0,0.15883,40.076,2.042,1207432064.0,19.375507,
Dow Inc.,DOW,27.78,19745118208,11775896,-0.083,-0.733,-1144999936.0,-0.05287,102.943,1.944,-579750016.0,-99.727165,
"D.R. Horton, Inc.",DHI,150.17,43714420736,3164418,-0.095,-0.222,3335099904.0,0.13477,22.872,6.332,-546750016.0,12.195122,
DTE Energy Company,DTE,136.56,28361191424,1624128,0.214,-0.124,1382000000.0,0.11658,207.975,1.152,-1633874944.0,17.669983,
Duke Energy Corporation (Holdin,DUK,120.24,93505986560,3528243,0.048,0.127,4921999872.0,0.09905,170.344,0.629,-1939250048.0,17.956104,
"DuPont de Nemours, Inc.",DD,44.63,18698868736,6115553,0.073,,726000000.0,0.03217,39.673,2.002,-1093124992.0,20.68694,
"Eaton Corporation, PLC",ETN,347.32,135211679744,2977365,0.101,0.024,3926000128.0,0.20653,59.661,1.28,2315500032.0,25.696705,
eBay Inc.,EBAY,95.17,43492687872,4599088,0.095,0.054,2151000064.0,0.42430001,151.155,0.925,1598749952.0,16.268404,
Ecolab Inc.,ECL,281.46,79829057536,1353055,0.178,,1984600064.0,0.21869,103.915,1.697,1397549952.0,33.209244,
Edison International,EIX,62.25,23955916800,3108780,0.106,0.636,2951000064.0,0.15765001,204.02,0.82,-1180499968.0,10.107127,
Edwards Lifesciences Corporatio,EW,81.86,48060010496,3615271,0.147,-0.903,1342200064.0,0.13492,6.862,4.004,524500000.0,28.138224,
Electronic Arts Inc.,EA,203.94,51006644224,1934333,-0.092,-0.514,885000000.0,0.13201,36.65,0.838,1503500032.0,21.995302,
"Elevance Health, Inc.",ELV,341.85,76977201152,1543996,0.123,0.22,5533000192.0,0.12569,72.823,1.56,5116000256.0,11.14995,
"EMCOR Group, Inc.",EME,727.35,32560449536,403270,0.164,0.133,1130370944.0,0.37088,12.915,1.192,860133760.0,26.223804,
Emerson Electric Company,EMR,148.42,83456876544,2679731,0.051,-0.353,2284999936.0,0.09363,67.785,0.876,2741250048.0,20.85866,
Entergy Corporation,ETR,96.48,43087671296,2571658,0.125,0.02,1808936960.0,0.11188,179.362,0.713,-3257634304.0,21.946075,
"EOG Resources, Inc.",EOG,111.02,60616187904,3974316,-0.024,-0.085,5529999872.0,0.18476999,26.835,1.624,2926749952.0,11.523662,
"EPAM Systems, Inc.",EPAM,218.35,12161421312,867271,0.194,-0.194,371623008.0,0.10207,4.165,3.022,568759616.0,17.47576,
EQT Corporation,EQT,55.96,34923003904,9284591,0.514,,1780542976.0,0.08488,30.675,0.578,1615665408.0,13.374857,
"Equifax, Inc.",EFX,205.33,25296117760,1510396,0.072,0.142,658499968.0,0.13066,94.824,0.738,909025024.0,23.518,
"Equinix, Inc.",EQIX,816.15,80134569984,561581,0.066,0.229,1071000000.0,0.077,147.969,1.34,3821750016.0,53.22719,
Equity Residential,EQR,60.76,23912818688,2399435,0.046,1.009,1155692032.0,0.10444,76.237,0.165,1397780608.0,41.960167,
Erie Indemnity Company,ERIE,273.53,14302848000,160126,0.067,0.144,647984000.0,0.30444,2.353,1.669,409099616.0,19.52391,
"Essex Property Trust, Inc.",ESS,245.48,16954928128,524038,0.062,0.389,846545984.0,0.15987,115.144,0.457,943816256.0,40.839687,
"Estee Lauder Companies, Inc. (T",EL,114.62,41304494080,3568691,0.036,,-930000000.0,-0.20727,242.211,1.321,1587500032.0,38.962936,
"Everest Group, Ltd.",EG,324.91,13639090176,399581,-0.009,-0.484,547000000.0,0.03595,23.337,0.408,4658250240.0,5.9223046,
"Evergy, Inc.",EVRG,76.65,17645914112,2101576,-0.001,0.005,849500032.0,0.08454,142.45,0.516,-477237504.0,17.88502,
Eversource Energy (D/B/A),ES,69.9,26225721344,2617320,0.051,,1343586048.0,0.0861,184.357,0.715,103500128.0,14.041531,
Exelon Corporation,EXC,44.76,45207027712,7598423,0.09,0.229,2820999936.0,0.10308,177.601,0.939,-1639750016.0,15.791367,
Expand Energy Corporation,EXE,109.66,26117689344,3348768,3.193,,867000000.0,0.061189998,27.95,0.81,2199749888.0,12.292207,
"Expedia Group, Inc.",EXPE,265.76,32878655488,2033665,0.087,0.454,1388000000.0,0.53886,250.289,0.744,2561874944.0,14.800031,
Expeditors International of Was,EXPD,160.07,21724465152,1465536,-0.035,0.006,845502976.0,0.36505002,24.549,1.794,743463488.0,26.731798,
Extra Space Storage Inc,EXR,137.16,30394857472,1302240,0.034,-0.142,947441984.0,0.06786,94.252,1.46,880051136.0,28.816702,
Exxon Mobil Corporation,XOM,137.58,586537566208,16394548,-0.051,-0.083,29952999424.0,0.11424,15.672,1.137,17292750848.0,19.772356,
"F5, Inc.",FFIV,292.3,16979594240,1209438,0.073,0.099,705988992.0,0.20844,6.638,1.554,712323776.0,17.463444,
FactSet Research Systems Inc.,FDS,269.86,10098143232,770945,0.068,0.044,599598016.0,0.28831,71.961,1.544,545510144.0,14.199316,
Fair Isaac Corporation,FICO,1525.67,36258242560,228670,0.136,0.179,651945984.0,,,0.83,615464128.0,29.442574,
Fastenal Company,FAST,43.62,50078265344,7687456,0.111,0.138,1258400000.0,0.33291,11.205,4.852,805237504.0,32.623817,
Federal Realty Investment Trust,FRT,99.82,8664300544,684911,0.06,-0.011,337579008.0,0.10516,138.76,0.369,408558016.0,31.60331,
FedEx Corporation,FDX,314.65,74243383296,1742760,0.139,-0.133,4330999808.0,0.15886,,1.274,4642124800.0,14.8090515,
Fidelity National Information S,FIS,56.19,29352452096,3148163,0.057,0.22,177000000.0,0.011829999,94.272,0.532,2390500096.0,8.964109,
Fifth Third Bancorp,FITB,49.69,32854929408,7496043,0.115,0.208,2376000000.0,0.121929996,,,,10.103187,
"First Solar, Inc.",FSLR,249.41,26763724800,2170813,0.797,0.457,1400461952.0,0.16864,9.893,1.91,168763744.0,10.723876,
FirstEnergy Corp.,FE,47.41,27387123712,4499106,0.112,0.045,1330000000.0,0.11192001,193.669,0.747,-1862249984.0,17.427393,
"Fiserv, Inc.",FISV,64.95,35306373120,11522055,,,,,,,,7.9151998,
